founder_id,gender,age,education_level,alma_mater,field_of_study,prior_work_experience,is_first_generation,startup_id,industry_sector,city,state,funding_amount,funding_rounds,jobs_created,is_unicorn,investor_count,has_female_investor,founding_year,mentorship_access,policy_support
F03857,Male,25,PhD,BITS Pilani,Other,25,Yes,S03333,Financial Services,Other,Karnataka,24628378.748570066,7,84,No,34,No,2002,Yes,No
F03858,Male,27,Master’s,Other,Engineering,3,Yes,S05915,Financial Services,Delhi,Karnataka,137047.9313876926,0,1623,No,2,Yes,2018,Yes,No
F03859,Male,29,Other,IIT Roorkee,Business,16,Yes,S06991,Other,Other,Other,338378.8696730765,0,343,No,5,No,2011,Yes,Yes
F03860,Prefer not to say,33,Bachelor’s,Other,Computer Science,3,Yes,S00492,Software,Bengaluru,Delhi,70886592.89847985,7,50,Yes,34,No,2015,No,Yes
F03861,Prefer not to say,57,Master’s,Other,Engineering,6,Yes,S07996,Healthcare,Mumbai,Karnataka,6163804.644681176,5,60,No,14,No,2025,Yes,Yes
F03862,Female,26,Bachelor’s,Other,Other,5,Yes,S01103,Consumer Goods,Other,Other,1460428.206431883,3,64,No,15,No,2014,No,Yes
F03863,Male,57,Bachelor’s,BITS Pilani,Other,0,No,S02479,Consumer Goods,Other,Other,20248995.076183442,9,35,No,20,No,2008,No,No
F03864,Male,23,Bachelor’s,IIT Delhi,Computer Science,0,Yes,S03507,Other,Other,Other,15944010.617969234,6,261,No,29,No,2023,No,No
F03865,Male,25,PhD,IIT Delhi,Business,0,Yes,S08171,Software,Delhi,Maharashtra,190422.9153403372,1,10,No,0,No,2019,No,No
F03866,Male,22,Master’s,Other,Business,4,Yes,S04405,Software,Other,Maharashtra,157724.0408872812,1,77,No,2,No,2008,Yes,No
F03867,Male,26,Bachelor’s,None,Engineering,1,Yes,S03845,Financial Services,Gurugram,Other,2018582.5156401338,3,29,No,11,No,2017,Yes,No
F03868,Female,29,Other,Other,Computer Science,5,Yes,S08214,Software,Other,Other,98782.12420750083,0,2,No,0,No,2024,Yes,No
F03869,Female,30,Bachelor’s,Other,Computer Science,2,Yes,S03623,Other,Mumbai,Maharashtra,674461.7285803474,2,76,No,0,No,2007,No,Yes
F03870,Male,22,Master’s,Other,Other,8,Yes,S02677,Financial Services,Mumbai,Other,2750963.7585140225,3,48,No,6,No,2023,No,No
F03871,Male,29,Master’s,Other,Computer Science,1,Yes,S07080,Software,Gurugram,Karnataka,7860789.3980559185,4,80,No,8,Yes,2020,Yes,No
F03872,Male,24,Master’s,Other,Computer Science,2,Yes,S07576,Healthcare,Mumbai,Other,23593814.892129626,9,52,No,50,Yes,2018,Yes,Yes
F03873,Male,23,Master’s,None,Business,4,Yes,S07224,Financial Services,Mumbai,Karnataka,3206313.410670784,5,388,No,14,No,2006,No,No
F03874,Prefer not to say,38,Bachelor’s,IIT Roorkee,Engineering,14,Yes,S07567,Consumer Goods,Other,Other,752999.5154442685,1,4139,No,3,No,2016,No,No
F03875,Male,24,Other,Other,Engineering,20,Yes,S05410,Other,Mumbai,Other,12210303.733519323,10,85,No,27,No,2000,No,No
F03876,Male,30,Bachelor’s,Other,Computer Science,4,Yes,S05221,Software,Other,Delhi,6949069.273687972,5,7,No,11,No,2018,No,No
F03877,Male,22,Bachelor’s,Other,Other,0,Yes,S00163,Financial Services,Gurugram,Other,1415835.376481088,5,53,No,7,No,2020,Yes,Yes
F03878,Prefer not to say,28,Bachelor’s,BITS Pilani,Computer Science,16,Yes,S01305,Other,Other,Other,94593559.16464604,9,68,Yes,46,No,2021,No,No
F03879,Male,29,Bachelor’s,Other,Computer Science,5,No,S05658,Software,Mumbai,Other,1944344.9550152419,5,23,No,13,No,2020,Yes,No
F03880,Male,25,Bachelor’s,Other,Business,17,Yes,S03324,Healthcare,Other,Other,86040.15483240107,1,8,No,2,No,2000,No,No
F03881,Male,27,Master’s,None,Arts,1,No,S01535,Other,Bengaluru,Karnataka,15646208.717207078,9,94,No,28,No,2008,No,No
F03882,Prefer not to say,27,Bachelor’s,Other,Computer Science,23,Yes,S05630,Other,Bengaluru,Delhi,145452.65500832407,1,73,No,1,No,2021,No,No
F03883,Prefer not to say,19,Bachelor’s,Other,Computer Science,13,Yes,S02422,Other,Other,Other,264390.8246560619,1,99,No,3,No,2017,No,No
F03884,Male,28,Bachelor’s,Other,Computer Science,9,Yes,S07972,Healthcare,Delhi,Other,103387253.67800018,8,28,Yes,47,Yes,2020,Yes,No
F03885,Prefer not to say,28,Master’s,Other,Arts,5,Yes,S01922,Software,Bengaluru,Delhi,616383.6967206682,0,4065,No,5,No,2020,Yes,Yes
F03886,Prefer not to say,23,Bachelor’s,None,Computer Science,18,Yes,S01684,Consumer Goods,Bengaluru,Karnataka,9331426.469288614,5,56,No,11,No,2025,No,No
F03887,Prefer not to say,27,Master’s,Other,Computer Science,3,Yes,S07798,Consumer Goods,Gurugram,Other,1135446.0522547464,4,24,No,10,No,2021,No,Yes
F03888,Female,23,Bachelor’s,IIT Roorkee,Other,0,Yes,S03859,Software,Bengaluru,Other,2382535.3083199216,5,29,No,9,No,2019,No,Yes
F03889,Female,28,Bachelor’s,Other,Business,0,Yes,S06548,Software,Bengaluru,Delhi,1222158.9190571564,3,66,No,14,No,2010,No,No
F03890,Male,29,Bachelor’s,BITS Pilani,Engineering,5,Yes,S03382,Other,Bengaluru,Karnataka,2983158.937778083,4,3141,No,7,No,2020,No,Yes
F03891,Prefer not to say,22,Master’s,IIT Delhi,Arts,2,No,S04274,Healthcare,Other,Other,71900039.68397796,8,4258,Yes,18,No,2024,No,No
F03892,Male,37,Bachelor’s,IIT Roorkee,Engineering,11,Yes,S01829,Healthcare,Bengaluru,Maharashtra,570216.1919246889,1,414,No,5,Yes,2022,No,No
F03893,Female,30,Bachelor’s,Other,Computer Science,21,No,S07695,Consumer Goods,Other,Other,139366791.88834038,8,560,Yes,33,No,2016,Yes,Yes
F03894,Male,23,Bachelor’s,None,Engineering,4,Yes,S08083,Other,Other,Other,10473938.545361921,6,3,No,28,No,2005,Yes,Yes
F03895,Prefer not to say,23,Bachelor’s,BITS Pilani,Arts,27,Yes,S00474,Healthcare,Mumbai,Maharashtra,2761608.647791917,5,363,No,14,No,2007,No,No
F03896,Prefer not to say,56,Bachelor’s,Other,Computer Science,0,Yes,S00884,Consumer Goods,Other,Maharashtra,9571843.005621767,4,54,No,13,No,2025,Yes,No
F03897,Male,22,Bachelor’s,Other,Engineering,5,Yes,S03383,Consumer Goods,Mumbai,Maharashtra,189169443.95714694,10,63,Yes,35,No,2021,Yes,No
F03898,Prefer not to say,29,Master’s,Other,Computer Science,0,Yes,S07582,Software,Other,Other,6072453.158,5,101,No,14,No,2010,No,No
F03899,Male,24,Master’s,IIT Delhi,Arts,3,Yes,S03539,Financial Services,Other,Maharashtra,1762012.6075724652,4,31,No,8,No,2008,Yes,No
F03900,Prefer not to say,22,Bachelor’s,IIT Delhi,Arts,14,Yes,S02479,Consumer Goods,Other,Other,20248995.076183442,9,35,No,20,No,2008,No,No
F03901,Male,26,Bachelor’s,Other,Business,21,Yes,S05897,Software,Mumbai,Maharashtra,6885532.621981544,5,48,No,10,No,2016,Yes,No
F03902,Male,29,Master’s,Other,Other,2,Yes,S07301,Other,Mumbai,Maharashtra,615215.9841807534,1,20,No,1,No,2023,No,No
F03903,Prefer not to say,30,Master’s,IIT Delhi,Engineering,1,Yes,S04320,Software,Bengaluru,Maharashtra,76918872.40159902,8,183,Yes,16,No,2019,No,No
F03904,Male,27,Master’s,BITS Pilani,Computer Science,17,Yes,S07806,Financial Services,Bengaluru,Karnataka,3937742.045267985,4,53,No,8,No,2016,No,No
F03905,Prefer not to say,27,Master’s,BITS Pilani,Other,20,Yes,S07449,Other,Mumbai,Other,183790.92153689938,0,4884,No,0,Yes,2015,Yes,Yes
F03906,Male,58,Bachelor’s,Other,Engineering,15,Yes,S04541,Software,Other,Maharashtra,683150.6977491064,1,41,No,3,No,2024,Yes,No
F03907,Male,25,Bachelor’s,IIT Delhi,Engineering,4,No,S05103,Financial Services,Other,Delhi,9697689.530408641,5,98,No,11,No,2015,Yes,No
F03908,Male,28,Bachelor’s,Other,Computer Science,3,Yes,S02570,Software,Bengaluru,Karnataka,2188023.8735023183,3,17,No,12,No,2016,Yes,Yes
F03909,Male,38,Bachelor’s,Other,Business,2,No,S04221,Financial Services,Delhi,Delhi,84585.78919118289,1,344,No,0,No,2019,Yes,Yes
F03910,Male,24,PhD,Other,Business,30,Yes,S03925,Software,Bengaluru,Delhi,625251.1897118962,1,51,No,3,No,2017,No,No
F03911,Male,28,PhD,Other,Engineering,2,Yes,S04393,Software,Other,Karnataka,2973251.330416436,3,43,No,8,Yes,2015,No,No
F03912,Male,30,Master’s,BITS Pilani,Other,5,Yes,S04109,Consumer Goods,Mumbai,Delhi,17403883.727550194,6,61,No,50,No,2004,No,No
F03913,Male,24,Bachelor’s,Other,Business,3,Yes,S02300,Financial Services,Other,Delhi,106123302.71793073,7,89,Yes,16,No,2016,Yes,No
F03914,Prefer not to say,22,Bachelor’s,None,Computer Science,0,Yes,S01120,Financial Services,Other,Maharashtra,928772.7757700345,1,14,No,2,Yes,2023,No,Yes
F03915,Prefer not to say,29,Master’s,IIT Delhi,Engineering,15,Yes,S07578,Other,Gurugram,Other,7019899.241011416,5,46,No,11,No,2019,Yes,Yes
F03916,Male,24,Bachelor’s,IIT Delhi,Other,3,Yes,S01017,Consumer Goods,Other,Other,5372467.098801662,4,170,No,8,No,2019,No,No
F03917,Prefer not to say,23,Master’s,IIT Roorkee,Computer Science,5,Yes,S03986,Software,Other,Maharashtra,9608701.695108257,4,37,No,9,No,2007,Yes,No
F03918,Male,24,High School,Other,Business,5,Yes,S02855,Financial Services,Other,Other,9300219.075502964,4,94,No,8,No,2024,No,Yes
F03919,Female,32,Bachelor’s,IIT Delhi,Computer Science,0,Yes,S02233,Consumer Goods,Bengaluru,Other,489726.3020809956,1,63,No,3,No,2021,No,No
F03920,Prefer not to say,29,Master’s,Other,Engineering,4,Yes,S02735,Other,Bengaluru,Maharashtra,5602817.4141388405,3,10,No,14,No,2019,Yes,No
F03921,Prefer not to say,30,PhD,Other,Computer Science,2,Yes,S02871,Software,Bengaluru,Delhi,40309395.24503098,10,84,No,22,No,2021,No,No
F03922,Male,25,Master’s,Other,Business,5,Yes,S03472,Healthcare,Bengaluru,Other,6363318.523659429,4,115,No,12,Yes,2025,No,No
F03923,Prefer not to say,27,Master’s,IIT Delhi,Arts,0,Yes,S05733,Healthcare,Other,Other,5903313.312,5,33,No,8,No,2020,Yes,No
F03924,Male,28,Bachelor’s,Other,Arts,15,Yes,S00108,Software,Other,Other,220147808.6480967,8,176,Yes,35,No,2019,Yes,No
F03925,Prefer not to say,23,Bachelor’s,BITS Pilani,Other,6,Yes,S00435,Software,Other,Karnataka,4883595.936151811,5,3155,No,13,No,2002,Yes,Yes
F03926,Male,22,Bachelor’s,IIT Delhi,Arts,5,Yes,S02972,Financial Services,Bengaluru,Karnataka,7923591.721982169,5,7,No,7,No,2023,No,No
F03927,Female,28,Bachelor’s,Other,Computer Science,3,No,S00385,Healthcare,Other,Maharashtra,19809.582589945658,2,16,No,3,No,2016,Yes,No
F03928,Female,25,Bachelor’s,Other,Computer Science,2,Yes,S03758,Consumer Goods,Mumbai,Other,1568278.4414087585,4,92,No,8,No,2017,No,Yes
F03929,Female,51,Bachelor’s,None,Arts,5,Yes,S00298,Healthcare,Bengaluru,Other,52749787.71434353,7,88,Yes,48,Yes,2019,Yes,Yes
F03930,Male,27,Other,None,Arts,15,Yes,S03418,Software,Mumbai,Other,11323452.92056465,10,14,No,27,No,2016,Yes,Yes
F03931,Prefer not to say,25,Bachelor’s,Other,Computer Science,1,No,S07765,Other,Gurugram,Maharashtra,135631454,9,57,Yes,47,No,2023,Yes,No
F03932,Male,32,Bachelor’s,Other,Computer Science,6,Yes,S03513,Other,Bengaluru,Maharashtra,14080493.288595824,6,98,No,29,Yes,2021,Yes,No
F03933,Female,23,Bachelor’s,Other,Engineering,0,Yes,S01187,Other,Mumbai,Maharashtra,109667314.40803644,7,87,Yes,17,No,2016,No,Yes
F03934,Male,58,Bachelor’s,Other,Business,4,Yes,S03315,Consumer Goods,Bengaluru,Karnataka,144842.2269908673,0,496,No,2,No,2022,No,Yes
F03935,Male,30,Bachelor’s,IIT Delhi,Other,1,Yes,S03531,Software,Bengaluru,Karnataka,35485496.303432755,9,64,No,28,No,2022,No,Yes
F03936,Male,27,Master’s,Other,Computer Science,25,Yes,S01767,Financial Services,Delhi,Other,242749477.04903656,7,71,Yes,38,No,2024,Yes,No
F03937,Male,29,Bachelor’s,None,Arts,3,Yes,S04588,Other,Bengaluru,Karnataka,1022582.6921612488,5,49,No,11,No,2019,Yes,No
F03938,Male,23,Master’s,Other,Business,0,Yes,S00056,Healthcare,Gurugram,Karnataka,4736345.263321377,5,99,No,8,Yes,2007,No,No
F03939,Male,30,Bachelor’s,Other,Computer Science,4,Yes,S03934,Software,Other,Other,44600660.500292055,6,49,No,45,Yes,2022,Yes,No
F03940,Male,22,Bachelor’s,Other,Other,22,Yes,S04612,Consumer Goods,Bengaluru,Other,1235529.623052695,3,37,No,13,Yes,2002,No,Yes
F03941,Prefer not to say,24,Master’s,Other,Other,22,Yes,S07686,Other,Other,Other,1598320.2094927889,4,4521,No,7,No,2023,No,No
F03942,Prefer not to say,25,Bachelor’s,Other,Computer Science,5,Yes,S06068,Other,Gurugram,Maharashtra,5954337.682700391,4,94,No,6,Yes,2016,Yes,No
F03943,Male,26,Bachelor’s,Other,Computer Science,2,Yes,S03745,Consumer Goods,Other,Other,584429.5459718879,2,247,No,5,No,2002,No,No
F03944,Male,30,Bachelor’s,Other,Other,2,Yes,S07667,Consumer Goods,Gurugram,Other,34462946.40708058,7,28,No,25,No,2018,Yes,No
F03945,Male,27,High School,None,Computer Science,9,No,S00464,Other,Gurugram,Other,170398.6015859159,0,25,No,0,Yes,2025,No,No
F03946,Male,23,Master’s,Other,Other,3,Yes,S06136,Consumer Goods,Gurugram,Karnataka,8697068.715906652,5,407,No,8,No,2010,No,No
F03947,Female,26,Bachelor’s,Other,Computer Science,24,Yes,S02000,Software,Delhi,Maharashtra,1617835.480733841,3,90,No,10,No,2023,Yes,Yes
F03948,Female,26,High School,Other,Engineering,9,Yes,S06732,Software,Mumbai,Maharashtra,16321083.78903307,10,81,No,28,No,2024,No,No
F03949,Male,23,Bachelor’s,Other,Engineering,5,Yes,S04360,Financial Services,Other,Delhi,3730919.865363383,5,423,No,13,No,2019,No,Yes
F03950,Male,24,Bachelor’s,Other,Computer Science,3,No,S03138,Software,Mumbai,Karnataka,4505889.482724674,3,65,No,15,No,2022,No,No
F03951,Male,26,Bachelor’s,Other,Engineering,1,No,S00775,Consumer Goods,Mumbai,Maharashtra,1854917.7189191394,5,93,No,10,No,2025,No,No
F03952,Prefer not to say,24,Bachelor’s,Other,Engineering,1,Yes,S04147,Other,Bengaluru,Other,122782659.46671653,8,113,Yes,28,No,2023,Yes,Yes
F03953,Prefer not to say,29,Bachelor’s,Other,Computer Science,5,Yes,S04886,Healthcare,Other,Other,2826078.2677334533,3,21,No,14,Yes,2016,No,No
F03954,Male,23,Bachelor’s,Other,Arts,3,Yes,S06957,Software,Other,Other,2711445.8101270925,3,41,No,6,Yes,2020,Yes,No
F03955,Male,32,Bachelor’s,Other,Arts,5,Yes,S02173,Software,Other,Other,1937955.3388908529,5,35,No,8,No,2004,No,No
F03956,Prefer not to say,28,Bachelor’s,BITS Pilani,Arts,7,Yes,S07926,Software,Bengaluru,Delhi,458226.2057734353,1,2846,No,3,No,2018,Yes,No
F03957,Prefer not to say,26,Master’s,Other,Business,0,Yes,S05901,Financial Services,Other,Delhi,74449.66212275343,1,18,No,4,No,2024,No,No
F03958,Male,27,Bachelor’s,None,Engineering,2,Yes,S06431,Software,Other,Maharashtra,2262707.1017342117,3,63,No,12,No,2011,No,No
F03959,Male,34,Bachelor’s,IIT Roorkee,Arts,3,Yes,S05555,Consumer Goods,Other,Maharashtra,4511162.328247422,5,5,No,10,No,2005,No,No
F03960,Male,32,Bachelor’s,IIT Delhi,Other,26,Yes,S04912,Software,Other,Karnataka,6065704.090233238,5,94,No,14,No,2013,No,No
F03961,Male,25,Other,BITS Pilani,Computer Science,2,Yes,S01655,Healthcare,Mumbai,Karnataka,2821518.6979448143,3,751,No,10,No,2017,No,No
F03962,Male,27,Master’s,None,Engineering,20,Yes,S04968,Consumer Goods,Bengaluru,Other,90713976.24587157,9,85,Yes,34,No,2016,No,Yes
F03963,Male,26,Master’s,IIT Delhi,Computer Science,22,Yes,S02333,Financial Services,Mumbai,Other,23023487.973558802,6,11,No,50,No,2007,No,No
F03964,Male,24,High School,IIT Roorkee,Computer Science,17,Yes,S05293,Financial Services,Bengaluru,Karnataka,8355343.558499469,5,26,No,12,No,2018,No,No
F03965,Male,24,Bachelor’s,Other,Computer Science,13,Yes,S06188,Other,Other,Other,574047.1852,0,185,No,1,No,2016,No,No
F03966,Prefer not to say,22,Master’s,Other,Arts,1,Yes,S03621,Financial Services,Other,Maharashtra,433883.4478,0,55,No,3,No,2018,No,No
F03967,Male,24,Bachelor’s,Other,Computer Science,27,Yes,S05053,Software,Delhi,Other,5765766.137089587,5,65,No,13,No,2001,Yes,No
F03968,Male,25,Bachelor’s,IIT Delhi,Engineering,2,Yes,S00072,Software,Other,Other,374762.0764141057,0,1236,No,5,No,2011,Yes,No
F03969,Male,26,Bachelor’s,None,Business,12,Yes,S01239,Other,Mumbai,Karnataka,323117.5151,0,360,No,0,Yes,2012,Yes,Yes
F03970,Male,23,Bachelor’s,BITS Pilani,Business,0,No,S07891,Other,Bengaluru,Karnataka,28074694.986863885,8,38,No,47,No,2008,Yes,No
F03971,Prefer not to say,23,Bachelor’s,BITS Pilani,Computer Science,4,Yes,S03027,Consumer Goods,Mumbai,Other,4933117.885596336,4,23,No,7,No,2015,No,No
F03972,Male,29,Bachelor’s,Other,Engineering,1,Yes,S06575,Other,Gurugram,Other,1215097.266547424,4,79,No,15,No,2023,No,No
F03973,Male,29,Master’s,Other,Computer Science,19,Yes,S06262,Software,Mumbai,Delhi,10320265.110064214,8,39,No,48,No,2011,No,Yes
F03974,Non-binary,23,Bachelor’s,Other,Arts,0,Yes,S06690,Software,Mumbai,Karnataka,7282041.583151847,3,0,No,12,No,2001,Yes,No
F03975,Male,27,Bachelor’s,None,Computer Science,12,Yes,S01791,Software,Other,Maharashtra,503818.4839404222,2,40,No,4,No,2024,No,No
F03976,Prefer not to say,43,Master’s,Other,Computer Science,4,Yes,S02147,Financial Services,Other,Maharashtra,543879.7853985003,2,468,No,5,Yes,2023,No,No
F03977,Male,26,Bachelor’s,Other,Engineering,30,Yes,S07309,Healthcare,Gurugram,Other,1020623.3402756798,5,309,No,14,No,2023,No,Yes
F03978,Male,19,Master’s,IIT Delhi,Computer Science,5,Yes,S06507,Software,Gurugram,Other,6183142.138991985,4,46,No,7,No,2018,Yes,No
F03979,Male,26,Master’s,Other,Engineering,4,Yes,S03166,Other,Bengaluru,Other,132046.80164830596,0,47,No,5,No,2006,No,Yes
F03980,Male,25,High School,BITS Pilani,Business,2,Yes,S03943,Other,Other,Other,400659.53937060136,2,73,No,3,Yes,2018,No,No
F03981,Prefer not to say,26,Bachelor’s,Other,Computer Science,4,No,S07707,Software,Mumbai,Other,20096019.796250287,7,24,No,41,No,2017,No,Yes
F03982,Prefer not to say,23,Master’s,Other,Arts,28,Yes,S08059,Other,Gurugram,Maharashtra,165111.69828483788,2,24,No,3,No,2021,No,Yes
F03983,Male,26,Bachelor’s,Other,Engineering,17,No,S01650,Consumer Goods,Mumbai,Karnataka,89248.52748748819,0,444,No,4,No,2018,No,No
F03984,Male,22,High School,None,Engineering,1,Yes,S07906,Consumer Goods,Mumbai,Karnataka,792617.2769416978,0,90,No,4,No,2008,Yes,No
F03985,Prefer not to say,29,Bachelor’s,Other,Engineering,8,Yes,S06178,Healthcare,Other,Maharashtra,3541200.3022120246,3,44,No,10,No,2012,Yes,No
F03986,Prefer not to say,30,Master’s,BITS Pilani,Computer Science,11,Yes,S01098,Software,Mumbai,Other,484470.52373393084,0,4227,No,1,No,2021,No,No
F03987,Male,24,Other,BITS Pilani,Computer Science,0,Yes,S07324,Consumer Goods,Other,Other,21910393.158219095,8,4175,No,37,No,2023,No,No
F03988,Male,26,Bachelor’s,Other,Business,2,Yes,S00880,Software,Gurugram,Other,10591831.339319983,10,25,No,23,No,2015,No,No
F03989,Male,23,Bachelor’s,Other,Other,0,Yes,S06376,Software,Bengaluru,Karnataka,37418732.05376222,7,87,No,31,No,2017,No,Yes
F03990,Prefer not to say,29,Bachelor’s,Other,Computer Science,0,Yes,S05568,Consumer Goods,Other,Other,1282580.540200572,3,1376,No,11,Yes,2025,Yes,No
F03991,Male,23,Bachelor’s,None,Business,1,Yes,S01800,Consumer Goods,Other,Karnataka,12751551.201019736,9,142,No,35,No,2016,Yes,No
F03992,Male,26,Bachelor’s,None,Computer Science,4,Yes,S06170,Other,Delhi,Karnataka,3295418.6209684494,4,43,No,10,No,2017,Yes,No
F03993,Prefer not to say,27,Bachelor’s,Other,Computer Science,4,No,S05544,Financial Services,Gurugram,Maharashtra,6573942.307289255,4,4382,No,10,Yes,2024,No,No
F03994,Male,30,Master’s,Other,Other,4,Yes,S02451,Other,Other,Other,2896321.3597031655,3,95,No,10,No,2018,No,Yes
F03995,Male,29,Bachelor’s,IIT Roorkee,Other,14,Yes,S03558,Software,Mumbai,Karnataka,6803385.832851605,4,3,No,10,No,2016,Yes,Yes
F03996,Male,25,PhD,Other,Computer Science,3,Yes,S02708,Other,Other,Other,12794587.111536283,10,374,No,37,No,2019,No,No
F03997,Male,27,Bachelor’s,Other,Arts,21,Yes,S01449,Software,Mumbai,Karnataka,17265961.635350276,8,2160,No,20,No,2000,No,No
F03998,Male,26,Bachelor’s,Other,Computer Science,9,Yes,S00526,Financial Services,Delhi,Other,2105036.944371175,3,12,No,12,No,2024,No,No
F03999,Male,30,Master’s,Other,Arts,1,Yes,S05678,Consumer Goods,Mumbai,Other,97999.14819684095,1,56,No,1,No,2022,Yes,Yes
F04000,Male,30,Bachelor’s,Other,Other,2,Yes,S00427,Financial Services,Bengaluru,Other,5766797.108802473,5,55,No,8,No,2021,Yes,No
F04001,Male,28,Bachelor’s,Other,Computer Science,4,No,S05450,Consumer Goods,Bengaluru,Maharashtra,14396005.090358928,7,32,No,49,Yes,2025,No,Yes
F04002,Prefer not to say,29,Bachelor’s,Other,Computer Science,0,Yes,S01115,Financial Services,Bengaluru,Karnataka,245993.80781268823,0,1747,No,2,No,2020,Yes,Yes
F04003,Prefer not to say,28,PhD,IIT Delhi,Other,1,Yes,S08109,Software,Gurugram,Other,561659.9879,2,24,No,4,No,2021,No,No
F04004,Male,27,Bachelor’s,Other,Engineering,2,No,S07287,Other,Delhi,Other,6434900.494958631,3,36,No,6,Yes,2017,No,Yes
F04005,Male,25,Bachelor’s,Other,Engineering,13,Yes,S07418,Other,Other,Karnataka,812718.7793369842,0,41,No,2,No,2024,Yes,No
F04006,Male,24,Master’s,Other,Engineering,5,Yes,S00722,Consumer Goods,Bengaluru,Other,35999722.11679953,6,47,No,33,No,2020,No,No
F04007,Male,21,Bachelor’s,IIT Roorkee,Business,5,Yes,S02124,Healthcare,Other,Other,63534233.837771475,8,78,Yes,31,No,2003,No,No
F04008,Male,22,Bachelor’s,None,Computer Science,3,Yes,S07935,Consumer Goods,Other,Karnataka,2539642.343976543,4,47,No,13,No,2017,No,No
F04009,Female,26,Bachelor’s,IIT Roorkee,Engineering,0,Yes,S08024,Software,Bengaluru,Karnataka,1377112.6152491758,5,27,No,14,No,2019,No,Yes
F04010,Male,29,Bachelor’s,IIT Delhi,Other,1,Yes,S02216,Software,Mumbai,Other,265430546.08976877,10,89,Yes,19,No,2024,No,Yes
F04011,Male,40,Bachelor’s,Other,Other,20,Yes,S04872,Software,Other,Karnataka,71810.70015088098,0,3374,No,4,No,2019,No,No
F04012,Male,26,Bachelor’s,None,Engineering,1,Yes,S05146,Other,Other,Karnataka,2399213.4474251233,3,49,No,8,No,2023,Yes,No
F04013,Female,26,Bachelor’s,Other,Computer Science,25,No,S00650,Software,Other,Other,18033451.801621553,9,37,No,39,No,2015,No,No
F04014,Male,42,Master’s,IIT Delhi,Arts,17,Yes,S07654,Financial Services,Bengaluru,Other,7980857.602583686,3,32,No,11,No,2015,Yes,Yes
F04015,Female,36,High School,BITS Pilani,Computer Science,2,Yes,S06665,Software,Bengaluru,Other,58803.666396049586,0,66,No,3,No,2025,No,No
F04016,Male,30,Bachelor’s,IIT Roorkee,Arts,3,Yes,S06481,Software,Gurugram,Karnataka,1821184.8469804386,4,67,No,14,No,2023,No,No
F04017,Prefer not to say,46,PhD,IIT Delhi,Business,13,Yes,S06498,Consumer Goods,Other,Maharashtra,170551845.65130535,7,223,Yes,22,No,2009,Yes,No
F04018,Prefer not to say,28,Bachelor’s,Other,Business,20,Yes,S04822,Other,Bengaluru,Other,8538506.822345976,5,92,No,12,No,2019,Yes,No
F04019,Male,31,Bachelor’s,Other,Other,28,Yes,S06406,Consumer Goods,Bengaluru,Other,471846.1743527931,1,29,No,2,Yes,2015,No,Yes
F04020,Male,26,Master’s,Other,Engineering,23,Yes,S07540,Software,Other,Other,149864886.8119545,8,1,Yes,44,No,2017,No,No
F04021,Male,29,Master’s,BITS Pilani,Computer Science,4,No,S04495,Other,Delhi,Delhi,16946.629405532833,1,51,No,0,No,2009,Yes,No
F04022,Male,30,Bachelor’s,Other,Other,4,Yes,S07112,Software,Delhi,Other,422500.0997963002,2,4874,No,5,No,2023,Yes,Yes
F04023,Female,29,Master’s,Other,Engineering,5,No,S06332,Consumer Goods,Mumbai,Maharashtra,250231.95461750941,2,50,No,4,Yes,2012,No,No
F04024,Prefer not to say,30,Bachelor’s,Other,Engineering,2,Yes,S02110,Consumer Goods,Mumbai,Karnataka,2113866.6994954376,3,40,No,6,Yes,2024,No,No
F04025,Female,22,Master’s,Other,Computer Science,25,Yes,S05213,Consumer Goods,Mumbai,Maharashtra,1957955.8196946206,5,83,No,10,Yes,2021,No,No
F04026,Prefer not to say,30,Master’s,IIT Roorkee,Business,1,No,S02350,Software,Mumbai,Other,102717019.99235786,9,34,Yes,26,Yes,2007,No,No
F04027,Male,22,Master’s,BITS Pilani,Business,1,Yes,S06894,Financial Services,Other,Delhi,13750744.87022242,9,16,No,43,No,2023,Yes,No
F04028,Male,56,Other,IIT Roorkee,Computer Science,5,Yes,S03850,Consumer Goods,Bengaluru,Other,25384962.326618265,6,80,No,19,Yes,2019,Yes,No
F04029,Prefer not to say,39,Master’s,Other,Computer Science,18,Yes,S06487,Consumer Goods,Mumbai,Maharashtra,1445527.3838473198,3,496,No,7,Yes,2024,Yes,No
F04030,Male,22,Bachelor’s,IIT Delhi,Computer Science,9,Yes,S05338,Financial Services,Other,Karnataka,11551576.641709613,8,264,No,40,Yes,2009,No,No
F04031,Female,22,PhD,Other,Other,2,Yes,S04978,Software,Other,Other,248126.46426523957,2,86,No,4,No,2023,No,No
F04032,Male,24,Bachelor’s,Other,Computer Science,2,Yes,S01148,Software,Mumbai,Maharashtra,85339939.06297779,8,464,Yes,20,No,2013,Yes,Yes
F04033,Male,30,Master’s,Other,Other,4,Yes,S05510,Consumer Goods,Other,Other,22082478.185351178,7,205,No,36,No,2024,Yes,No
F04034,Prefer not to say,27,Master’s,Other,Business,3,Yes,S03933,Healthcare,Mumbai,Karnataka,2483113.4231331153,5,75,No,6,No,2002,No,No
